"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4156449,"11","University-Rosedale",1920,"PRIVATE",3,25,78,1
4153526,"13","Toronto Centre",1960,"PRIVATE",20,116,96,1
4153547,"13","Toronto Centre",1915,"PRIVATE",3,26,93,1
4153548,"13","Toronto Centre",1973,"PRIVATE",29,561,97,1
4153421,"11","University-Rosedale",1805,"PRIVATE",5,69,87,1
4153420,"11","University-Rosedale",1903,"PRIVATE",4,18,93,1
4250554,"11","University-Rosedale",1898,"PRIVATE",4,42,67,1
4153214,"11","University-Rosedale",1965,"PRIVATE",13,70,100,1
4153235,"11","University-Rosedale",1918,"PRIVATE",3,15,49,1
4153531,"13","Toronto Centre",1975,"PRIVATE",27,419,91,1
4153542,"13","Toronto Centre",1955,"PRIVATE",4,24,91,1
4153541,"13","Toronto Centre",1960,"PRIVATE",10,84,94,1
4153532,"13","Toronto Centre",1965,"PRIVATE",12,82,96,1
4153533,"13","Toronto Centre",1963,"PRIVATE",14,101,90,1
4153540,"13","Toronto Centre",2016,"PRIVATE",27,411,95,1
4153527,"13","Toronto Centre",1928,"PRIVATE",3,48,75,1
4153546,"13","Toronto Centre",1968,"PRIVATE",14,82,77,1
4153528,"13","Toronto Centre",1959,"PRIVATE",13,76,80,1
4153545,"13","Toronto Centre",1917,"PRIVATE",4,28,79,1
4153529,"13","Toronto Centre",1960,"PRIVATE",11,221,87,1
4153544,"13","Toronto Centre",1959,"PRIVATE",11,262,90,1
4153521,"13","Toronto Centre",1960,"PRIVATE",9,79,89,1
4153522,"13","Toronto Centre",1960,"PRIVATE",7,56,95,1
4153743,"11","University-Rosedale",1969,"PRIVATE",28,267,85,1
4153744,"12","Toronto-St. Paul's",1967,"PRIVATE",24,411,95,1
4156725,"13","Toronto Centre",2009,"SOCIAL HOUSING",6,98,97,2
4156034,"13","Toronto Centre",1994,"TCHC",7,55,86,3
4153456,"13","Toronto Centre",1929,"PRIVATE",6,72,86,1
4153450,"13","Toronto Centre",1992,"SOCIAL HOUSING",9,75,81,2
4153478,"13","Toronto Centre",1995,"TCHC",10,82,90,3
4250538,"13","Toronto Centre",1960,"PRIVATE",4,35,80,1
4415696,"13","Toronto Centre",1928,"PRIVATE",3,26,89,1
4155859,"13","Toronto Centre",1960,"PRIVATE",9,143,89,1
4153475,"13","Toronto Centre",1960,"PRIVATE",7,76,85,1
4415827,"13","Toronto Centre",1928,"PRIVATE",3,30,99,1
4153499,"13","Toronto Centre",1991,"TCHC",10,212,77,3
4153507,"13","Toronto Centre",1888,"PRIVATE",3,16,96,1
4264285,"13","Toronto Centre",1900,"PRIVATE",3,28,76,1
4153401,"10","Spadina-Fort York",1979,"TCHC",7,180,91,3
4153400,"10","Spadina-Fort York",1992,"TCHC",4,26,74,3
